@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,BATTERY_CAPACITY,NETWORK_4G,GPU,NETWORK_2G,BATTERY_TYPE,EXTERNAL_MEMORY,WEIGHT,DEVICE_TYPE,OS,PRICE,CAMERA_FRONT,SIM_CARD_SLOT,SCREEN_TYPE,PRODUCT_SIZE,SCREEN_PPI,NETWORK_3G,SIM_CARD_TYPE,BRAND,SCREEN_SIZE,ROM,NETWORK_TYPE,SCREEN_RESOLUTION,CPU_CORES,TITLE,WIFI,RAM}

@data
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz",NETWORK_4G
"gsm 1800mhz,gsm 850mhz,gsm 900mhz",NETWORK_2G
"helio p25",CPU
"0.1610 kg",WEIGHT
"15.10 x 7.40 x 0.76 cm / 5.94 x 2.91 x 0.3 inches",PRODUCT_SIZE
"2.5d arc screen,corning gorilla glass 3",SCREEN_TYPE
"ulefone metal 4g smartphone",TITLE
"ulefone",BRAND
"$94.99",PRICE
"3g,4g,bluetooth 4.0,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"3050mah built-in",BATTERY_CAPACITY
"1.3ghz,octa core",CPU_CORES
"2.0mp (sw 5.0mp)",CAMERA_FRONT
"8.0mp (sw 13.0mp)",CAMERA_BACK
"0.1550 kg",WEIGHT
"14.30 x 7.10 x 0.94 cm / 5.63 x 2.8 x 0.37 inches",PRODUCT_SIZE
"corning gorilla glass 3",SCREEN_TYPE
"xiaomi redmi note 4x 4g phablet international version",TITLE
"$156.26",PRICE
"3g,4g,bluetooth,gps,gsm,lte,wifi",WIRELESS_CONNECTIVITY
"4100mah(typ) / 4000mah(min) built-in",BATTERY_CAPACITY
"adreno 506",GPU
"qualcomm snapdragon 625 (msm8953)",CPU
"2.0ghz,octa core",CPU_CORES
"13.0mp,with flash light and af",CAMERA_BACK
"0.1650 kg",WEIGHT
"15.10 x 7.60 x 0.84 cm / 5.94 x 2.99 x 0.33 inches",PRODUCT_SIZE
"vernee apollo x 4g phablet",TITLE
"$177.99",PRICE
"gsm+wcdma+fdd-lte",NETWORK_TYPE
"3500mah built-in",BATTERY_CAPACITY
"helio x20",CPU
"2.3ghz,deca core",CPU_CORES
"0.1790 kg",WEIGHT
"15.18 x 7.56 x 0.95 cm / 5.98 x 2.98 x 0.37 inches",PRODUCT_SIZE
"capacitive,corning gorilla glass 3",SCREEN_TYPE
"bluboo x9 4g smartphone",TITLE
"one is standard sim card,the other is micro sim card",SIM_CARD_TYPE
"$99.99",PRICE
"gsm,3g,bluetooth,gps,a-gps,wifi,4g",WIRELESS_CONNECTIVITY
"2500mah",BATTERY_CAPACITY
"0.166 kg",WEIGHT
"14.50 x 7.15 x 0.79 cm / 5.71 x 2.81 x 0.31 inches",PRODUCT_SIZE
"capacitive (5-points),ips",SCREEN_TYPE
"vkworld mix+ 4g phablet",TITLE
"vkworld",BRAND
"3g,4g,bluetooth,gps,wifi",WIRELESS_CONNECTIVITY
"fdd b1 2100mhz,fdd b3 1800mhz,fdd b7 2600mhz,tdd b19 800mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b5 850mhz",NETWORK_3G
"2850mah",BATTERY_CAPACITY
"tf card up to 64gb (not included)",EXTERNAL_MEMORY
"0.1620 kg",WEIGHT
"14.40 x 7.15 x 0.89 cm / 5.67 x 2.81 x 0.35 inches",PRODUCT_SIZE
"1440 x 720",SCREEN_RESOLUTION
"elephone p8 4g phablet",TITLE
"v4.1",BLUETOOTH_VERSION
"$249.47",PRICE
"3g,4g,bluetooth,dual band wifi,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b2 1900mhz,wcdma b5 850mhz,wcdma b8 900mhz",NETWORK_3G
"fdd-lte,gsm,tdd-lte,wcdma",NETWORK_TYPE
"3600mah",BATTERY_CAPACITY
"21.0mp",CAMERA_BACK
"0.1860 kg",WEIGHT
"15.39 x 7.55 x 0.95 cm / 6.06 x 2.97 x 0.37 inches",PRODUCT_SIZE
"xiaomi redmi note 4x 4g phablet",TITLE
"$152.99",PRICE
"4100mah built-in",BATTERY_CAPACITY
"15.10 x 7.60 x 0.85 cm / 5.94 x 2.99 x 0.33 inches",PRODUCT_SIZE
"vernee thor e 4g smartphone",TITLE
"$108.99",PRICE
"3g,4g,a-gps,bluetooth,dual band wifi,gsm,wifi",WIRELESS_CONNECTIVITY
"5020mah (typ)",BATTERY_CAPACITY
"8.0mp ( sw 13.0mp ) with flash light and af",CAMERA_BACK
"0.1670 kg",WEIGHT
"14.40 x 7.10 x 0.89 cm / 5.67 x 2.8 x 0.35 inches",PRODUCT_SIZE
"oneplus 3t global version 4g phablet",TITLE
"oxygenos",OS
"oneplus",BRAND
"$478.96",PRICE
"fdd-lte b1/b3/b5/b7/b8/b20",NETWORK_4G
"gsm+wcdma+fdd-lte+td-lte",NETWORK_TYPE
"3400mah",BATTERY_CAPACITY
"qualcomm snapdragon 821",CPU
"1.6ghz,2.35ghz,quad core",CPU_CORES
"16mp 1.0 um",CAMERA_FRONT
"16mp 1.12 um with flash light and af",CAMERA_BACK
"0.1580 kg",WEIGHT
"15.27 x 7.47 x 0.74 cm / 6.01 x 2.94 x 0.29 inches",PRODUCT_SIZE
"401",SCREEN_PPI
"corning gorilla glass",SCREEN_TYPE
"bluboo maya 3g phablet",TITLE
"dual sim",SIM_CARD_SLOT
"micro sim card,standard sim card",SIM_CARD_TYPE
"3g,a-gps,bluetooth 4.0,gsm,wifi",WIRELESS_CONNECTIVITY
"wcdma 850/2100mhz",NETWORK_3G
"mtk6580",CPU
"0.140 kg",WEIGHT
"15.40 x 7.80 x 0.85 cm / 6.06 x 3.07 x 0.33 inches",PRODUCT_SIZE
"5.5inch",SCREEN_SIZE
"capacitive,ips",SCREEN_TYPE
"elephone c1x 4g phablet",TITLE
"smart phone",DEVICE_TYPE
"$91.99",PRICE
"3g,4g,bluetooth 4.0,gps,gsm,wifi,lte",WIRELESS_CONNECTIVITY
"2500mah built-in",BATTERY_CAPACITY
"8.0mp ( sw 13.0mp )",CAMERA_BACK
"0.1770 kg",WEIGHT
"15.30 x 7.75 x 0.80 cm / 6.02 x 3.05 x 0.31 inches",PRODUCT_SIZE
"2.5d arc screen,ips",SCREEN_TYPE
"kingzone s3 3g smartphone",TITLE
"kingzone",BRAND
"$67.27",PRICE
"3g,bluetooth 4.0,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"1 x 2600mah",BATTERY_CAPACITY
"1gb ram",RAM
"0.1283 kg",WEIGHT
"14.30 x 7.10 x 0.83 cm / 5.63 x 2.8 x 0.33 inches",PRODUCT_SIZE
"agm a8 se 4g smartphone",TITLE
"agm",BRAND
"$135.94",PRICE
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,tdd b38 2600mhz",NETWORK_4G
"4050mah",BATTERY_CAPACITY
"msm8916",CPU
"1.2ghz,quad core",CPU_CORES
"2.0mp",CAMERA_FRONT
"0.2470 kg",WEIGHT
"15.90 x 8.30 x 1.60 cm / 6.26 x 3.27 x 0.63 inches",PRODUCT_SIZE
"corning gorilla glass 3,ips",SCREEN_TYPE
"umidigi z1 pro 4g phablet",TITLE
"umidigi",BRAND
"$327.66",PRICE
"4000mah",BATTERY_CAPACITY
"6gb",RAM
"13.0mp + 5.0mp",CAMERA_BACK
"0.1480 kg",WEIGHT
"15.44 x 7.51 x 0.69 cm / 6.08 x 2.96 x 0.27 inches",PRODUCT_SIZE
"$330.82",PRICE
"$209.09",PRICE
"elephone p8 mini 4g smartphone",TITLE
"$139.99",PRICE
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,tdd b38 2600mhz,tdd b40 2300mhz,tdd b41 2500mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b20 800mhz,wcdma b8 900mhz",NETWORK_3G
"2860mah",BATTERY_CAPACITY
"mali-t860",GPU
"mtk6750t",CPU
"1.5ghz,octa core",CPU_CORES
"13.0mp + 2.0mp",CAMERA_BACK
"0.1330 kg",WEIGHT
"14.36 x 7.40 x 0.81 cm / 5.65 x 2.91 x 0.32 inches",PRODUCT_SIZE
"motorola moto m 4g phablet",TITLE
"motorola",BRAND
"$202.55",PRICE
"fdd-lte band 1/3/7",NETWORK_4G
"helio p15",CPU
"2.2ghz,octa core",CPU_CORES
"16.0mp,with flash light and af",CAMERA_BACK
"0.163 kg",WEIGHT
"15.13 x 7.53 x 0.78 cm / 5.96 x 2.96 x 0.31 inches",PRODUCT_SIZE
"homtom ht50 4g phablet",TITLE
"homtom",BRAND
"5500mah",BATTERY_CAPACITY
"0.1950 kg",WEIGHT
"15.65 x 7.85 x 0.89 cm / 6.16 x 3.09 x 0.35 inches",PRODUCT_SIZE
"blackview r6 lite 3g phablet",TITLE
"3g phablet",DEVICE_TYPE
"$72.99",PRICE
"gsm,wcdma",NETWORK_TYPE
"0.1900 kg",WEIGHT
"15.20 x 7.71 x 0.95 cm / 5.98 x 3.04 x 0.37 inches",PRODUCT_SIZE
"960 x 540 (qhd)",SCREEN_RESOLUTION
"$182.18",PRICE
"gretel a7 3g smartphone",TITLE
"gretel",BRAND
"$49.99",PRICE
"0.1270 kg",WEIGHT
"13.96 x 6.69 x 0.94 cm / 5.5 x 2.63 x 0.37 inches",PRODUCT_SIZE
"4.7 inch",SCREEN_SIZE
"$114.93",PRICE
"cubot rainbow 2 3g smartphone",TITLE
"cubot",BRAND
"$70.27",PRICE
"wcdma 900/1900/2100mhz",NETWORK_3G
"2350mah built-in",BATTERY_CAPACITY
"2.0mp ( sw 5.0mp)",CAMERA_FRONT
"8.0mp ( sw 13.0mp ) + 2.0mp",CAMERA_BACK
"0.1560 kg",WEIGHT
"14.40 x 7.20 x 0.83 cm / 5.67 x 2.83 x 0.33 inches",PRODUCT_SIZE
"ips",SCREEN_TYPE
"homtom ht37 pro 4g smartphone",TITLE
"$89.99",PRICE
"1 x 3000mah",BATTERY_CAPACITY
"8.0mp ( sw 13.0 mp )",CAMERA_BACK
"14.73 x 7.16 x 0.89 cm / 5.8 x 2.82 x 0.35 inches",PRODUCT_SIZE
"asus zenfone 2 ( ze551ml ) 4g phablet",TITLE
"android 5.0",OS
"asus",BRAND
"$130.99",PRICE
"fdd-lte 1800/2100mhz",NETWORK_4G
"gsm+wcdma+lte-fdd",NETWORK_TYPE
"powervr g6430",GPU
"intel z3560",CPU
"1.8ghz,quad core",CPU_CORES
"13.0mp (dual flashlight)",CAMERA_BACK
"0.1760 kg",WEIGHT
"15.25 x 7.72 x 1.09 cm / 6 x 3.04 x 0.43 inches",PRODUCT_SIZE
"umidigi z1 4g phablet",TITLE
"$276.25",PRICE
"0.1750 kg",WEIGHT
"15.40 x 7.60 x 0.82 cm / 6.06 x 2.99 x 0.32 inches",PRODUCT_SIZE
"xiaomi redmi 4x 4g smartphone",TITLE
"$115.99",PRICE
"cdma",WIRELESS_CONNECTIVITY
"4100mah",BATTERY_CAPACITY
"adreno 505",GPU
"snapdragon 435",CPU
"1.4ghz,octa core",CPU_CORES
"13.92 x 7.00 x 0.87 cm / 5.48 x 2.76 x 0.34 inches",PRODUCT_SIZE
"xiaomi mi max 2 4g phablet",TITLE
"$419.37",PRICE
"2.4ghz/5ghz wifi,3g,4g,a-gps,bluetooth,gps,gsm,lte",WIRELESS_CONNECTIVITY
"5300mah(typ) / 5200mah(min)",BATTERY_CAPACITY
"12.0mp,with flash light and af",CAMERA_BACK
"0.2110 kg",WEIGHT
"17.41 x 8.87 x 0.76 cm / 6.85 x 3.49 x 0.3 inches",PRODUCT_SIZE
"6.44 inch",SCREEN_SIZE
"elephone s7 4g phablet",TITLE
"$183.99",PRICE
"fdd-lte 800/1800/2100/2600mhz tdd-lte 2300/2600mhz",NETWORK_4G
"2.0ghz,deca core",CPU_CORES
"15.04 x 7.32 x 0.76 cm / 5.92 x 2.88 x 0.3 inches",PRODUCT_SIZE
"maze alpha 4g phablet",TITLE
"maze",BRAND
"$283.99",PRICE
"3g,4g,bluetooth,gsm,wifi",WIRELESS_CONNECTIVITY
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b7 2600mhz,fdd b8 900mhz",NETWORK_4G
"1.4ghz,2.5ghz,octa core",CPU_CORES
"5mp",CAMERA_FRONT
"13mp + 5mp",CAMERA_BACK
"0.2250 kg",WEIGHT
"15.98 x 8.25 x 0.81 cm / 6.29 x 3.25 x 0.32 inches",PRODUCT_SIZE
"6.0 inch",SCREEN_SIZE
"elephone a1 3g smartphone",TITLE
"8gb",ROM
"5.0mp ( sw 8.0mp ) with af and flash light",CAMERA_BACK
"0.1130 kg",WEIGHT
"capacitive,ogs",SCREEN_TYPE
"homtom ht16 3g smartphone",TITLE
"$51.79",PRICE
"wcdma 850/1900/2100mhz",NETWORK_3G
"5.0mp (sw 8.0mp)",CAMERA_BACK
"0.123 kg",WEIGHT
"14.30 x 7.20 x 0.90 cm / 5.63 x 2.83 x 0.35 inches",PRODUCT_SIZE
"zoji z6 3g smartphone",TITLE
"zoji",BRAND
"$75.32",PRICE
"3g,a-gps,bluetooth 4.0,gps,wifi",WIRELESS_CONNECTIVITY
"0.1807 kg",WEIGHT
"15.00 x 7.40 x 0.99 cm / 5.91 x 2.91 x 0.39 inches",PRODUCT_SIZE
"leagoo t5 4g phablet",TITLE
"leagoo",BRAND
"$149.99",PRICE
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b40 2300mhz",NETWORK_4G
"wcdma b1 2100mhz,wcdma b5 850mhz,wcdma b8 900mhz",NETWORK_3G
"5.0mp + 13.0mp",CAMERA_BACK
"0.1600 kg",WEIGHT
"15.30 x 7.61 x 0.79 cm / 6.02 x 3 x 0.31 inches",PRODUCT_SIZE
"oukitel u7 plus 4g phablet",TITLE
"$90.51",PRICE
"1 x 2500mah",BATTERY_CAPACITY
"0.200 kg",WEIGHT
"15.80 x 7.80 x 0.90 cm / 6.22 x 3.07 x 0.35 inches",PRODUCT_SIZE
"$53.83",PRICE
"blackview bv6000 4g smartphone",TITLE
"3g,4g,gps,gsm,nfc",WIRELESS_CONNECTIVITY
"gsm 850/900/1800mhz",NETWORK_2G
"4200mah built-in battery",BATTERY_CAPACITY
"mali t860mp2",GPU
"mtk6755",CPU
"0.1700 kg",WEIGHT
"15.23 x 8.10 x 1.66 cm / 6 x 3.19 x 0.65 inches",PRODUCT_SIZE
"xiaomi mi mix ultimate 4g phablet",TITLE
"miui 8 or miui 8 above",OS
"$665.69",PRICE
"2.4ghz/5ghz wifi,3g,4g,bluetooth,cdma,gsm",WIRELESS_CONNECTIVITY
"fdd-lte",NETWORK_4G
"4400mah",BATTERY_CAPACITY
"quad core",CPU_CORES
"256gb",ROM
"16mp",CAMERA_BACK
"0.2090 kg",WEIGHT
"15.80 x 8.19 x 0.79 cm / 6.22 x 3.22 x 0.31 inches",PRODUCT_SIZE
"6.4 inch",SCREEN_SIZE
"2048 x 1080 (2k)",SCREEN_RESOLUTION
"elephone p9000 4g phablet",TITLE
"$174.08",PRICE
"4g,a-gps,bluetooth 4.0,gps,wifi",WIRELESS_CONNECTIVITY
"mtk6755m",CPU
"1.8ghz,octa core",CPU_CORES
"0.1647 kg",WEIGHT
"14.83 x 7.37 x 0.90 cm / 5.84 x 2.9 x 0.35 inches",PRODUCT_SIZE
"$359.99",PRICE
"128gb",ROM
"ulefone s8 3g smartphone",TITLE
"$75.99",PRICE
"3g,bluetooth,gsm,wifi",WIRELESS_CONNECTIVITY
"8.0mp ( sw13.0mp ) + 0.3mp ( sw5.0mp )",CAMERA_BACK
"0.1840 kg",WEIGHT
"14.64 x 7.22 x 0.92 cm / 5.76 x 2.84 x 0.36 inches",PRODUCT_SIZE
"5.3 inch",SCREEN_SIZE
"$168.99",PRICE
"u8 smartwatch watch",TITLE
"$8.39",PRICE
"$162.99",PRICE
"0.1500 kg",WEIGHT
"ulefone power 2 4g phablet",TITLE
"$159.99",PRICE
"2.4ghz/5ghz wifi,3g,4g,bluetooth,gps",WIRELESS_CONNECTIVITY
"6050mah",BATTERY_CAPACITY
"13.0mp ( sw 16.0mp )",CAMERA_BACK
"0.2136 kg",WEIGHT
"15.50 x 7.76 x 0.99 cm / 6.1 x 3.06 x 0.39 inches",PRODUCT_SIZE
"ulefone armor 4g smartphone",TITLE
"fdd-lte 800/1700/1800/2100/2600mhz",NETWORK_4G
"gsm+cdma+wcdma+td-scdma+fdd-lte+tdd-lte",NETWORK_TYPE
"14.79 x 7.58 x 1.25 cm / 5.82 x 2.98 x 0.49 inches",PRODUCT_SIZE
"asus zenfone 2 ( ze551ml ) 4g phablet 32gb rom",TITLE
"$147.99",PRICE
"z3580",CPU
"2.3ghz,quad core",CPU_CORES
"xiaomi mi5s 4g smartphone",TITLE
"$258.99",PRICE
"3g,4g,a-gps,bluetooth,dual band wifi,gps,gsm,wifi",WIRELESS_CONNECTIVITY
"fdd-lte b1/b3/b5/b7",NETWORK_4G
"3100mah built-in",BATTERY_CAPACITY
"0.1470 kg",WEIGHT
"14.57 x 7.03 x 0.83 cm / 5.74 x 2.77 x 0.33 inches",PRODUCT_SIZE
"doogee y6 max 4g phablet",TITLE
"doogee",BRAND
"$141.64",PRICE
"4300mah built-in",BATTERY_CAPACITY
"li-ion battery",BATTERY_TYPE
"mtk6750",CPU
"0.2550 kg",WEIGHT
"17.30 x 8.90 x 0.90 cm / 6.81 x 3.5 x 0.35 inches",PRODUCT_SIZE
"6.5 inch",SCREEN_SIZE
"$286.99",PRICE
"oneplus 3t 4g phablet",TITLE
"$399.99",PRICE
"fdd b1 2100mhz,fdd b20 800mhz,fdd b3 1800mhz,fdd b5 850mhz,fdd b7 2600mhz,fdd b8 900mhz,tdd b38 2600mhz,tdd b40 2300mhz",NETWORK_4G
"16mp 1.0 µm",CAMERA_FRONT
"16mp 1.12 µm with flash light and af",CAMERA_BACK
"elephone c1 max 4g phablet",TITLE
"$135.2",PRICE
"2800mah",BATTERY_CAPACITY
"0.2280 kg",WEIGHT
"14.30 x 7.20 x 0.75 cm / 5.63 x 2.83 x 0.3 inches",PRODUCT_SIZE
"ulefone gemini pro 4g phablet",TITLE
"android 7.1",OS
"$249.99",PRICE
"2.4ghz/5ghz wifi,3g,4g,bluetooth,gps,gsm",WIRELESS_CONNECTIVITY
"3680mah",BATTERY_CAPACITY
"mtk6797",CPU
"2.6ghz,deca core",CPU_CORES
"13.0mp + 13.0mp",CAMERA_BACK
"15.50 x 7.69 x 0.84 cm / 6.1 x 3.03 x 0.33 inches",PRODUCT_SIZE
"0.170 kg",WEIGHT
"xiaomi mi5s plus 4g phablet",TITLE
"$360.27",PRICE
"3g,4g,a-gps,bluetooth,dual band wifi,gps,gsm,nfc,wifi",WIRELESS_CONNECTIVITY
"3800mah quick charge 3.0",BATTERY_CAPACITY
"2.35ghz,quad core",CPU_CORES
"4.0mp, f/2.0",CAMERA_FRONT
"dual 13.0mp with pdaf and dual-tone flash light",CAMERA_BACK
"15.46 x 7.77 x 0.80 cm / 6.09 x 3.06 x 0.31 inches",PRODUCT_SIZE
