@RELATION phones

@ATTRIBUTE value STRING
@ATTRIBUTE class {BLUETOOTH_VERSION,PRICE,CAMERA_FRONT,OS,SCREEN_TYPE,CPU,WIRELESS_CONNECTIVITY,CAMERA_BACK,PRODUCT_SIZE,BATTERY_CAPACITY,NETWORK_3G,GPU,NETWORK_4G,NETWORK_2G,SIM_CARD_TYPE,SCREEN_SIZE,ROM,EXTERNAL_MEMORY,SCREEN_RESOLUTION,CPU_CORES,TITLE,WEIGHT,WIFI,RAM}

@data
"microsd, up to 2 gb (dedicated slot)",EXTERNAL_MEMORY
"47 €",PRICE
"removable li-ion 600 mah battery",BATTERY_CAPACITY
"123.5 x 62.2 x 11.2 mm",PRODUCT_SIZE
"99 g",WEIGHT
"tft, 65k colors",SCREEN_TYPE
"1.77 inches (~21.8% screen-to-body ratio)",SCREEN_SIZE
"128 x 160 pixels (~116 ppi pixel density)",SCREEN_RESOLUTION
"blu grand max dual sim 3g 8gb 1gb ram g110eq blue",TITLE
"4.0, a2dp",BLUETOOTH_VERSION
"microsd, up to 64 gb",EXTERNAL_MEMORY
"8 gb",ROM
"114 €",PRICE
"hsdpa 850 / 900 / 1900 / 2100 g110eq",NETWORK_3G
"gsm / hspa",WIRELESS_CONNECTIVITY
"non-removable li-po 2200 mah battery",BATTERY_CAPACITY
"8 mp, autofocus, led flash",CAMERA_BACK
"8 mp, led flash",CAMERA_FRONT
"dual sim, (micro sim + nano sim)",SIM_CARD_TYPE
"145 x 72.1 x 7.8 mm (5.71 x 2.84 x 0.31 in)",PRODUCT_SIZE
"154 g (5.43 oz)",WEIGHT
"5.0 inches (~65.9% screen-to-body ratio)",SCREEN_SIZE
"mali-400",GPU
"mediatek mt6580",CPU
"v",OS
"quad-core 1.3 ghz cortex-a7",CPU_CORES
"xiaomi mi 5s dual sim 64gb gold",TITLE
"wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, dlna, hotspot",WIFI
"64 gb",ROM
"3 gb ram",RAM
"315 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable 3200 mah battery",BATTERY_CAPACITY
"12 mp, f/2.0, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"4 mp, f/2.0, 1/3",CAMERA_FRONT
"145.6 x 70.3 x 8.3 mm (5.73 x 2.77 x 0.33 in)",PRODUCT_SIZE
"145 g (5.11 oz)",WEIGHT
"5.15 inches (~71.4% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~428 ppi pixel density)",SCREEN_RESOLUTION
"adreno 530",GPU
"qualcomm msm8996 snapdragon 821",CPU
"quad-core (2x2.15 ghz kryo & 2x1.6 ghz kryo)",CPU_CORES
"xiaomi mi 4 dual sim white",TITLE
"v4.0, a2dp",BLUETOOTH_VERSION
"115 €",PRICE
"gsm / cdma / hspa",WIRELESS_CONNECTIVITY
"non-removable li-ion 3080 mah battery",BATTERY_CAPACITY
"13 mp, 4128 x 3096 pixels, autofocus, led flash",CAMERA_BACK
"8 mp, 1080p@30fps",CAMERA_FRONT
"139.2 x 68.5 x 8.9 mm (5.48 x 2.70 x 0.35 in)",PRODUCT_SIZE
"149 g (5.26 oz)",WEIGHT
"5.0 inches (~72.3% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~441 ppi pixel density)",SCREEN_RESOLUTION
"adreno 330",GPU
"qualcomm msm8974ac snapdragon 801",CPU
"android os, v4.4.3 (kitkat)",OS
"quad-core 2.5 ghz krait 400",CPU_CORES
"xiaomi redmi 4 dual sim 16gb white",TITLE
"v4.1, a2dp, le",BLUETOOTH_VERSION
"wi-fi 802.11 a/b/g/n, wi-fi direct, hotspot",WIFI
"microsd, up to 256 gb (uses sim 2 slot)",EXTERNAL_MEMORY
"145 €",PRICE
"lte band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)",NETWORK_4G
"non-removable li-ion 4100 mah battery",BATTERY_CAPACITY
"13 mp, f/2.2, phase detection autofocus, led flash",CAMERA_BACK
"5 mp, f/2.2, 1080p",CAMERA_FRONT
"141.3 x 69.6 x 8.9 mm (5.56 x 2.74 x 0.35 in)",PRODUCT_SIZE
"156 g (5.50 oz)",WEIGHT
"5.0 inches (~69.1% screen-to-body ratio)",SCREEN_SIZE
"720 x 1280 pixels (~296 ppi pixel density)",SCREEN_RESOLUTION
"adreno 505",GPU
"qualcomm msm8937 snapdragon 430",CPU
"android os, v6.0.1 (marshmallow)",OS
"octa-core 1.4 ghz cortex-a53",CPU_CORES
"xiaomi redmi 4a dual sim 16gb gray",TITLE
"wi-fi 802.11 b/g/n, wi-fi direct, hotspot",WIFI
"112 €",PRICE
"lte band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 20(800), 38(2600), 40(2300)",NETWORK_4G
"non-removable li-ion 3120 mah battery",BATTERY_CAPACITY
"13 mp, f/2.2, autofocus, led flash",CAMERA_BACK
"5 mp, f/2.2",CAMERA_FRONT
"dual sim (nano-sim/ micro-sim, dual stand-by)",SIM_CARD_TYPE
"139.5 x 70.4 x 8.5 mm (5.49 x 2.77 x 0.33 in)",PRODUCT_SIZE
"131.5 g (4.66 oz)",WEIGHT
"5.0 inches (~70.2% screen-to-body ratio)",SCREEN_SIZE
"adreno 308",GPU
"qualcomm msm8917 snapdragon 425",CPU
"xiaomi mi 5s dual sim 128gb silver",TITLE
"4 gb ram",RAM
"366 €",PRICE
"xiaomi mi 5s dual sim 128gb rose gold",TITLE
"401 €",PRICE
"xiaomi redmi 3x dual sim 32gb gold",TITLE
"150 €",PRICE
"gsm 900 / 1800 / 1900 sim 1 & sim 2",NETWORK_2G
"13 mp, f/2.0, phase detection autofocus, led flash",CAMERA_BACK
"dual sim ((micro sim + nano sim, dual stand-by)",SIM_CARD_TYPE
"139.3 x 69.6 x 8.5 mm (5.48 x 2.74 x 0.33 in)",PRODUCT_SIZE
"144 g (5.08 oz)",WEIGHT
"5.0 inches (~71.1% screen-to-body ratio)",SCREEN_SIZE
"xiaomi redmi 4x dual sim 32gb pink",TITLE
"157 €",PRICE
"non-removable li-po 4100 mah battery",BATTERY_CAPACITY
"139.2 x 70 x 8.7 mm (5.48 x 2.76 x 0.34 in)",PRODUCT_SIZE
"150 g (5.29 oz)",WEIGHT
"5.0 inches (~70.7% screen-to-body ratio)",SCREEN_SIZE
"qualcomm msm8940 snapdragon 435",CPU
"xiaomi redmi 4x dual sim 32gb black",TITLE
"xiaomi redmi 3x dual sim 32gb silver",TITLE
"xiaomi redmi 4a dual sim 16gb pink",TITLE
"xiaomi mi 6 dual sim 128gb black",TITLE
"5.0, a2dp, le",BLUETOOTH_VERSION
"6 gb ram",RAM
"539 €",PRICE
"non-removable li-po 3350 mah battery",BATTERY_CAPACITY
"dual 12 mp (27mm, f/1.8, ois 4-axis & 52mm, f/2.6), phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"8 mp, 1080p",CAMERA_FRONT
"145.2 x 70.5 x 7.5 mm (5.72 x 2.78 x 0.30 in)",PRODUCT_SIZE
"168 g",WEIGHT
"adreno 540",GPU
"qualcomm msm8998 snapdragon 835",CPU
"android 7.1.1 (nougat)",OS
"octa-core (4x2.45 ghz kryo & 4x1.9 ghz kryo)",CPU_CORES
"xiaomi redmi 4x dual sim 32gb gold",TITLE
"141 €",PRICE
"xiaomi mi 5c dual sim 64gb pink",TITLE
"4.1, a2dp, le",BLUETOOTH_VERSION
"wi-fi 802.11 a/b/g/n/ac, dual-band, wi-fi direct, hotspot",WIFI
"222 €",PRICE
"lte band 3(1800), 1(2100), 7(2600),td-lte 38(2600), td-lte 39(1900), td-lte 40(2300)",NETWORK_4G
"non-removable li-ion 2860 mah battery",BATTERY_CAPACITY
"12 mp, f/2.2, 27mm, phase detection autofocus, led flash",CAMERA_BACK
"8 mp, f/2.2, 27mm, 1080p",CAMERA_FRONT
"144.4 x 69.7 x 7.1 mm (5.69 x 2.74 x 0.28 in)",PRODUCT_SIZE
"135 g (4.76 oz)",WEIGHT
"5.15 inches (~72.6% screen-to-body ratio)",SCREEN_SIZE
"mali-t860mp4",GPU
"xiaomi surge s1",CPU
"android 6.0 (marshmallow), upgradable to 7.1 (nougat)",OS
"octa-core (4x2.2 ghz cortex-a53 & 4x1.4 ghz cortex-a53)",CPU_CORES
"xiaomi redmi 4x dual sim 16gb pink",TITLE
"130 €",PRICE
"xiaomi redmi 4a dual sim 16gb gold",TITLE
"131 €",PRICE
"xiaomi mi 5s dual sim 128gb gold",TITLE
"xiaomi redmi 4 dual sim 16gb gold",TITLE
"147 €",PRICE
"xiaomi redmi 4x dual sim 16gb black",TITLE
"128 €",PRICE
"xiaomi mi 5s dual sim 64gb rose gold",TITLE
"295 €",PRICE
"xiaomi mi 5s dual sim 64gb black",TITLE
"xiaomi mi 6 dual sim 64gb black",TITLE
"497 €",PRICE
"xiaomi redmi 4a dual sim 32gb gray",TITLE
"132 €",PRICE
"xiaomi mi 5c dual sim 64gb gold",TITLE
"xiaomi mi 5c dual sim 64gb black",TITLE
"253 €",PRICE
"apple iphone 6s plus 16gb silver",TITLE
"636 €",PRICE
"hsdpa 850 / 900 / 1700 / 1900 / 2100",NETWORK_3G
"lte band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300) a1633",NETWORK_4G
"non-removable li-po 2750 mah battery (10.45 wh)",BATTERY_CAPACITY
"12 mp, 4608 x 2592 pixels, optical image stabilization, phase detection autofocus, dual-led (dual tone) flash",CAMERA_BACK
"158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in)",PRODUCT_SIZE
"192 g (6.77 oz)",WEIGHT
"5.5 inches (~67.7% screen-to-body ratio)",SCREEN_SIZE
"1080 x 1920 pixels (~401 ppi pixel density)",SCREEN_RESOLUTION
"dual-core 1.84 ghz",CPU_CORES
"apple iphone 7 plus 256gb gold",TITLE
"974 €",PRICE
"non-removable li-ion 2900 mah battery (11.1 wh)",BATTERY_CAPACITY
"dual 12 mp, (28mm, f/1.8, ois & 56mm, f/2.8), phase detection autofocus, 2x optical zoom, quad-led (dual tone) flash",CAMERA_BACK
"188 g (6.63 oz)",WEIGHT
"ios 10.0.1, upgradable to ios 10.0.2",OS
"quad-core 2.23 ghz",CPU_CORES
"apple iphone 7 plus 32gb silver",TITLE
"781 €",PRICE
"apple iphone 7 plus 256gb black",TITLE
"apple iphone 7 plus 32gb black",TITLE
"apple iphone 6s plus 16gb gold",TITLE
"604 €",PRICE
"samsung galaxy a3 (2017) lte sm-a320fl blue",TITLE
"249 €",PRICE
"lte band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), td-lte 2300 (bands 40)",NETWORK_4G
"non-removable li-ion 2350 mah battery",BATTERY_CAPACITY
"13 mp, f/1.9, autofocus, led flash",CAMERA_BACK
"8 mp, f/1.9",CAMERA_FRONT
"135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in)",PRODUCT_SIZE
"super amoled capacitive touchscreen, 16m colors",SCREEN_TYPE
"4.7 inches (~67.9% screen-to-body ratio)",SCREEN_SIZE
"720 x 1280 pixels (~312 ppi pixel density)",SCREEN_RESOLUTION
"mali-t830",GPU
"exynos 7870 octa",CPU
"octa-core 1.6 ghz cortex-a53",CPU_CORES
"samsung galaxy s6 duos sm-g920fd black",TITLE
"v4.1, a2dp, le, apt-x",BLUETOOTH_VERSION
"lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 700 (b12), 800 (b26), 800 (b19)",NETWORK_4G
"non-removable li-ion 2550 mah battery",BATTERY_CAPACITY
"16 mp, 2988 x 5312 pixels, optical image stabilization, autofocus, led flash",CAMERA_BACK
"5 mp, 1440p@30fps, dual video call, auto hdr",CAMERA_FRONT
"143.4 x 70.5 x 6.8 mm (5.65 x 2.78 x 0.27 in)",PRODUCT_SIZE
"5.1 inches (~70.7% screen-to-body ratio)",SCREEN_SIZE
"1440 x 2560 pixels (~577 ppi pixel density)",SCREEN_RESOLUTION
"mali-t760mp8",GPU
"exynos 7420",CPU
"android os, v5.0.2 (lollipop)",OS
"quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57",CPU_CORES
"samsung galaxy j1 mini prime (2016) duos sm-j106h-ds white",TITLE
"90 €",PRICE
"hsdpa 900 / 2100",NETWORK_3G
"removable li-ion 1500 mah battery",BATTERY_CAPACITY
"5 mp, f/2.2, led flash",CAMERA_BACK
"vga",CAMERA_FRONT
"126.6 x 63.1 x 10.8 mm (4.98 x 2.48 x 0.43 in)",PRODUCT_SIZE
"123 g (4.34 oz)",WEIGHT
"tft capacitive touchscreen, 256k colors",SCREEN_TYPE
"4.0 inches (~57.0% screen-to-body ratio)",SCREEN_SIZE
"480 x 800 pixels (~233 ppi pixel density)",SCREEN_RESOLUTION
"mali-400mp2",GPU
"spreadtrum sc9830",CPU
"quad-core 1.2 ghz cortex-a7",CPU_CORES
"samsung galaxy j2 (2016) dual sim sm-j210f/ds silver",TITLE
"microsd, up to 128 gb (dedicated slot)",EXTERNAL_MEMORY
"1.5 gb ram",RAM
"183 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 8(900), 20(800), 40(2300)",NETWORK_4G
"removable li-ion 2600 mah battery",BATTERY_CAPACITY
"8 mp, f/2.2, autofocus, led flash",CAMERA_BACK
"142.4 x 71.1 x 8 mm (5.61 x 2.80 x 0.31 in)",PRODUCT_SIZE
"5.0 inches (~68.1% screen-to-body ratio)",SCREEN_SIZE
"spreadtrum sc8830",CPU
"quad-core 1.5 ghz cortex-a7",CPU_CORES
"samsung galaxy a3 (2017) lte sm-a320fl black",TITLE
"samsung galaxy s7 32gb duos sm-g930fd gold",TITLE
"v4.2, a2dp, le, apt-x",BLUETOOTH_VERSION
"microsd, up to 200 gb (uses sim 2 slot)",EXTERNAL_MEMORY
"518 €",PRICE
"hsdpa 850 / 900 / 1900 / 2100 sim 1",NETWORK_3G
"lte band 2100 (b1), 700 (b17), 850 (b5), 1700/2100 (b4), 1800 (b3), 2600 (b7), 1900 (b2), 800 (b18), 900 (b8), 800 (b20), 1900 (b25), 700 (b12), 800 (b26), td-lte2600 (b38), 800 (b19), td-lte2500 (b41), td-lte2300 (b40), td-lte1900 (b39), 700 (b28), td-lte3500 (b42) sim 1",NETWORK_4G
"non-removable li-ion 3000 mah battery",BATTERY_CAPACITY
"12 mp, f/1.7, 26mm, phase detection autofocus, ois, led flash",CAMERA_BACK
"5 mp, f/1.7, 22mm, dual video call, auto hdr",CAMERA_FRONT
"142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in)",PRODUCT_SIZE
"152 g (5.36 oz)",WEIGHT
"5.1 inches (~72.1% screen-to-body ratio)",SCREEN_SIZE
"mali-t880 mp12",GPU
"exynos 8890 octa",CPU
"quad-core 2.6 ghz mongoose + quad-core 1.6 ghz cortex-a53",CPU_CORES
"samsung galaxy j1 (2016) duos lte sm-j120f/ds white",TITLE
"146 €",PRICE
"lte band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)",NETWORK_4G
"removable li-ion 2050 mah battery",BATTERY_CAPACITY
"5 mp, f/2.2, autofocus, led flash",CAMERA_BACK
"2 mp, f/2.2",CAMERA_FRONT
"132.6 x 69.3 x 8.9 mm (5.22 x 2.73 x 0.35 in)",PRODUCT_SIZE
"131 g (4.62 oz)",WEIGHT
"4.5 inches (~44.8% screen-to-body ratio)",SCREEN_SIZE
"480 x 800 pixels (~245 ppi pixel density)",SCREEN_RESOLUTION
"mali-t720",GPU
"exynos 3475 quad",CPU
"android os, v5.1.1 (lollipop)",OS
"samsung galaxy s7 32gb sm-g930f pink gold",TITLE
"microsd, up to 200 gb (dedicated slot)",EXTERNAL_MEMORY
