TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
android 4.0 10.1 inch wxga ips screen exynos4412 quad core 2gb 16gb excelvan et1002 tablet pc camera wifi bluetooth|||tablet pc ||android 4.0 |||excelvan ||$150.57|||not built-in 3g (support external 3g) |||802.11b/g/n wireless internet |||2gb |||exynos 4412 ||quad core,cortex-a9 |tf card up to 32gb (not included) |16gb ||0.3mp |2.0mp (with flash light) |0.635 kg |26.1 x 17.3 x 1.05 cm |10.1 inch ||capacitive,ips |1280 x 800 (wxga) ||
q88h kid tablet pc|||kids tablet ||android 4.4 |||||$51.71||||||802.11b/g/n wireless internet |3.7v / 2000mah ||512mb ||mali-400 mp |a33 ||1.3ghz |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |7 inch |||1024 x 600 (wsvga) ||
hipo s8 tablet pc|||tablet pc ||android 6.0 |||hipo ||$86.22||||||802.11b/g/n wireless internet |3.7v / 2800mah, li-ion polymer battery ||1gb ||mali-400 |mtk8163 ||1.5ghz,quad core |tf card up to 128gb (not included) |16gb ||5.0mp |13.0mp |0.3600 kg |20.60 x 12.50 x 0.80 cm / 8.11 x 4.92 x 0.31 inches |8 inch ||capacitive (5-point) |1920 x 1200 (wuxga) ||
lenovo yoga tb3 plus ( yt - x730f ) tablet pc|||tablet pc ||android 6.0 |||lenovo ||$375.2||||||802.11 a/b/g/n/ac wireless internet |9300mah, li-ion polymer battery ||3gb ||adreno 510 |qualcomm snapdragon 652 64bit ||1.8ghz,octa core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp with af |0.6370 kg |24.70 x 17.90 x 0.47 cm / 9.72 x 7.05 x 0.19 inches |10.1 inch ||capacitive (10-point) |2560 x 1600 (wqxga) ||
lenovo tab 2 a7-30 android 4.4 phablet|||tablet pc |yes (1 x micro sim card slot),single sim,single standby |android 4.4 |||||$125.18||||gsm 850/900/1800/1900mhz |gsm ||3450mah ||1gb ||mali-450mp |mtk8382 ||quad core,1.3ghz |tf card up to 64gb (not included) |16gb ||2.0mp |8.0mp,with flash light and af |0.269 kg |19.1 x 10.5 x 0.89 cm / 7.51 x 4.13 x 0.35 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
huawei m2 ( m2-801w ) 8.0 inch tablet pc|||tablet pc ||android 5.1 |||huawei ||$231.33||||||802.11 a/b/g/n/ac wireless internet |4800mah, li-ion polymer battery ||3gb ||mali-t628 mp4 |hisilicon kirin 930 ||2.0ghz,octa core |tf card up to 128gb (not included) |32gb ||5.0mp |13.0mp |0.3300 kg |21.48 x 12.40 x 0.78 cm / 8.46 x 4.88 x 0.31 inches |8 inch ||capacitive (10-point),ips |1920 x 1200 (wuxga) ||
5 inch gpd xd game tablet pc|||game tablet ||android 4.4 |||gpd ||$139.99||||||802.11b/g/n wireless internet |6000mah ||2gb ||mali-764 |rk3288 ||600mhz,quad core ||32gb ||2.0mp |8.0mp,with flash light and af |0.3130 kg |15.40 x 8.80 x 2.40 cm / 6.06 x 3.46 x 0.94 inches |5 inch ||capacitive |1280 x 720 (hd 720) ||
lenovo yoga a12 yb - q501f 2 in 1 tablet pc|||tablet pc ||android 6.0 |||lenovo ||$458.68||||||802.11b/g/n wireless internet |10500mah, li-ion polymer battery ||2gb ||gen8-lp10 |intel cherry trail z8550 ||2.4ghz,quad core |tf card up to 128gb (not included) |32gb ||0.3mp ||0.9900 kg |28.06 x 20.48 x 1.09 cm / 11.05 x 8.06 x 0.43 inches |12.2 inch ||capacitive |1280 x 800 (wxga) ||
jumper ezpad 4s pro tablet pc|||tablet pc ||windows 10 |||jumper ||$134.99||||||802.11b/g/n wireless internet |3.7v / 6600mah ||4gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |2.0mp |0.6500 kg |27.70 x 16.90 x 0.80 cm / 10.91 x 6.65 x 0.31 inches |10.6 inch ||capacitive (5-point) |1920 x 1080 (fhd) ||
nabi dmtab - in08a kids tablet pc|||kids tablet ||android 4.4 |||||$104.76||||||802.11b/g/n wireless internet |built-in, 3.7v / 4500mah, li-ion polymer battery ||2gb ||intel hd graphic |z3745 ||1.2ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |5.0mp |0.6630 kg |23.64 x 16.24 x 2.11 cm / 9.31 x 6.39 x 0.83 inches |8 inch ||capacitive (5-point) |1920 x 1200 (wuxga) ||
5 inch gpd xd game tablet pc|||game tablet ||android 4.4 |||gpd ||$179.0||||||802.11b/g/n wireless internet |6000mah ||2gb ||mali-764 |rk3288 ||600mhz,quad core ||32gb ||||0.313 kg |15.50 x 8.90 x 2.40 cm / 6.1 x 3.5 x 0.94 inches |5 inch ||capacitive |1280 x 720 (hd 720) ||
lenovo tab 2 a10 - 70f tablet pc|||tablet pc ||android 5.0 |||lenovo ||$274.32||||||wifi 802.11a/b/g/n wireless internet |7000mah ||2gb ||mali-t760 mp2 |mtk8165 ||1.7ghz,quad core |tf card up to 128gb (not included) |16gb ||2.0mp |2.0mp |0.5100 kg |17.10 x 20.00 x 0.89 cm / 6.73 x 7.87 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
teclast tbook 10 s 2 in 1 tablet pc with stylus|||tablet pc ||windows 10 + android 5.1 |||teclast ||$196.21||||||802.11b/g/n wireless internet |3.8v / 6000mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp ||0.5920 kg |24.65 x 16.59 x 0.80 cm / 9.7 x 6.53 x 0.31 inches |10.1 inch ||ips |1920 x 1200 (wuxga) ||
teclast tbook 16 pro 2 in 1 tablet pc with keyboard|||tablet pc,with keyboard ||windows 10 + android 5.1 |||teclast ||$244.19||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||0.3mp |2.0mp |0.7720 kg |29.00 x 18.10 x 0.48 cm / 11.42 x 7.13 x 0.19 inches |11.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
teclast tbook 12 pro 2 in 1 tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$189.99||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.9110 kg |29.90 x 20.20 x 0.80 cm / 11.77 x 7.95 x 0.31 inches |12.2 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||||0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
gpd win pc game console|||game tablet,umpc ||windows 10 |||gpd ||$375.0||||||802.11a/b/g/n/ac wireless internet |3.8v/6700mah ||4gb ||intel hd graphics |intel cherry trail z8750 ||1.6ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.3780 kg |15.50 x 9.70 x 2.20 cm / 6.1 x 3.82 x 0.87 inches |5.5 inch ||capacitive (5-point),ips |1280 x 720 (hd 720) ||
jumper ezpad 6 2 in 1 tablet pc with keyboard|||tablet pc,with keyboard ||windows 10 |||jumper ||$179.99||||||802.11b/g/n wireless internet |3.8v / 7000mah, li-ion polymer battery ||4gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core ||64gb ||2.0mp |5.0mp |1.3970 kg |29.00 x 18.20 x 0.80 cm / 11.42 x 7.17 x 0.31 inches |11.6 inch ||ips |1920 x 1080 (fhd) ||
teclast x80 power tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$128.75||||||802.11b/g/n wireless internet |3.8v / 3800mah, li-ion polymer battery ||2gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp |0.3300 kg |21.50 x 12.52 x 0.75 cm / 8.46 x 4.93 x 0.3 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||5.0mp |8.0mp |0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
asus zenpad 3s 10 z500m tablet pc|||tablet pc ||android 6.0 |||asus ||$389.25||||||802.11 a/b/g/n/ac wireless internet |built-in 3.7v / 5900mah lithium ion polymer battery ||4gb ||powervr gx6250 |mtk mt8176 ||dual-core 2.1 ghz +quad-core 1.7 ghz |tf card up to 128gb (not included) |64gb ||2.0mp ||0.4300 kg |24.05 x 16.37 x 0.58 cm / 9.47 x 6.44 x 0.23 inches |9.7 inch ||capacitive (10-point),ips |2048 x 1536 (qxga) ||
onda obook 20 plus tablet pc|||tablet pc,umpc ||android 5.1,windows 10 |||onda ||$149.99|||||||3.7v / 6000mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 256gb |64gb ||0.3mp |2.0mp |0.5750 kg |25.30 x 16.80 x 0.80 cm / 9.96 x 6.61 x 0.31 inches |10.1 inch ||capacitive (10-point),ips |1920 x 1200 (wuxga) ||
cube iplay 8 tablet pc|||tablet pc ||android 6.0 |||cube ||$78.57||||||wifi 802.11a/b/g/n wireless internet |3.8v / 3500mah ||1gb ||mali-t720 mp2 |mtk8163 ||1.3ghz,quad core |tf card up to 128gb (not included) |16gb ||0.3mp |0.3mp |0.3300 kg |19.60 x 13.70 x 0.90 cm / 7.72 x 5.39 x 0.35 inches |7.85 inch ||capacitive (5-point) |1024 x 768 (xga) ||
hipo m88 kids tablet pc|||kids tablet ||android 4.4 |||hipo ||$59.46||||||802.11b/g/n wireless internet |3.7v / 2800mah, li-ion polymer battery ||512mb ||mali-400 |a33 ||1.34ghz,quad core |tf card up to 128gb (not included) |8gb ||2.0mp |5.0mp |0.3930 kg |18.16 x 12.09 x 1.60 cm / 7.15 x 4.76 x 0.63 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
lenovo tb3 - x70f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$328.29||||||802.11 a/b/g/n/ac wireless internet |7000mah, li-ion polymer battery ||2gb ||mali-t720 |mtk8161 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||0.3mp |2.0mp |0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
veidoo v88k - a4f kids tablet pc|||kids tablet ||android 4.4 |||veidoo ||$65.5||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb ||mali-400 |a33 ||1.5ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.5200 kg |18.60 x 12.10 x 0.80 cm / 7.32 x 4.76 x 0.31 inches |7 inch ||capacitive,tn |1024 x 600 (wsvga) ||
huawei honor pad 2 ( jdn-w09 )|||tablet pc ||android 6.0 |||huawei ||$176.95||||||802.11 a/b/g/n/ac wireless internet |4800mah ( typ ), li-ion polymer battery ||3gb ||adreno-405 |qualcomm snapdragon 616 ||1.5ghz,octa core |tf card up to 128gb (not included) |16gb ||||0.3400 kg |20.93 x 12.30 x 0.81 cm / 8.24 x 4.84 x 0.32 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
lenovo tab 2 a10 - 70f tablet pc|||tablet pc ||android 5.0 |||lenovo ||$274.32||||||wifi 802.11a/b/g/n wireless internet |7000mah ||2gb ||mali-t760 mp2 |mtk8165 ||1.7ghz,quad core |tf card up to 128gb (not included) |16gb ||2.0mp ||0.5100 kg |17.10 x 20.00 x 0.89 cm / 6.73 x 7.87 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
cube iwork1x 2 in 1 tablet pc|||tablet pc ||windows 10 |||cube ||$189.99||||||802.11b/g/n wireless internet |built-in 4.35v / 8500mah lithium ion polymer battery ||4gb ||intel hd graphic(gen8) |intel atom x5-z8350 ||1.44ghz |tf card up to 128gb (not included) |64gb ||2.0mp |8.0mp |0.7620 kg |29.80 x 18.00 x 0.90 cm / 11.73 x 7.09 x 0.35 inches |11.6 inch ||capacitive,ips |1920 x 1080 (fhd) ||
teclast tbook 16 pro 2 in 1 tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$271.26||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |2.0mp |0.7720 kg |29.00 x 18.10 x 0.48 cm / 11.42 x 7.13 x 0.19 inches |11.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
onda v80 plus|||tablet pc ||android 5.1 |||onda ||$111.6||||||802.11 b/g/n/ac |3.8v / 4000mah ||2gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |8.0mp |0.3060 kg |21.50 x 12.50 x 0.85 cm / 8.46 x 4.92 x 0.33 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
lenovo p8 tablet pc|||tablet pc ||android 6.0 |||lenovo ||$159.99||||||802.11 b/g/n/ac |3.7v / 4250mah, li-ion polymer battery ||3gb ||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 64gb (not included) |16gb ||0.3mp |0.3mp |0.3300 kg |20.95 x 12.35 x 0.86 cm / 8.25 x 4.86 x 0.34 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||2.0mp |2.0mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
pipo p7 tablet pc|||tablet pc ||android 4.4 |||pipo ||$158.71||||||802.11b/g/n wireless internet |6400mah, li-ion polymer battery ||2gb ||mali-t764 |rk3288 ||1.8ghz,quad core |tf card up to 64gb (not included) |16gb ||0.3mp |0.3mp |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |9.4 inch ||capacitive (10-point) |1280 x 800 (wxga) ||
